WTeam,LTeam,WLoc
Boston Celtics,Philadelphia 76ers,H
Golden State Warriors,Oklahoma City Thunder,H
Milwaukee Bucks,Charlotte Hornets,V
Detroit Pistons,Brooklyn Nets,H
New Orleans Pelicans,Houston Rockets,V
Indiana Pacers,Memphis Grizzlies,H
Denver Nuggets,Los Angeles Clippers,V
New York Knicks,Atlanta Hawks,H
Orlando Magic,Miami Heat,H
Phoenix Suns,Dallas Mavericks,H
Utah Jazz,Sacramento Kings,V
San Antonio Spurs,Minnesota Timberwolves,H
Toronto Raptors,Cleveland Cavaliers,H
Philadelphia 76ers,Chicago Bulls,H
Portland Trail Blazers,Los Angeles Lakers,H
Miami Heat,Washington Wizards,V
Brooklyn Nets,New York Knicks,H
Los Angeles Clippers,Oklahoma City Thunder,H
Memphis Grizzlies,Atlanta Hawks,H
Milwaukee Bucks,Indiana Pacers,H
Minnesota Timberwolves,Cleveland Cavaliers,H
New Orleans Pelicans,Sacramento Kings,H
Charlotte Hornets,Orlando Magic,V
Toronto Raptors,Boston Celtics,H
Golden State Warriors,Utah Jazz,V
Detroit Pistons,Chicago Bulls,V
Dallas Mavericks,Minnesota Timberwolves,H
Denver Nuggets,Phoenix Suns,H
Indiana Pacers,Brooklyn Nets,H
Houston Rockets,Los Angeles Lakers,V
Charlotte Hornets,Miami Heat,V
Boston Celtics,New York Knicks,V
Philadelphia 76ers,Orlando Magic,H
Portland Trail Blazers,San Antonio Spurs,H
Toronto Raptors,Washington Wizards,V
Atlanta Hawks,Cleveland Cavaliers,V
Denver Nuggets,Golden State Warriors,H
Los Angeles Clippers,Houston Rockets,H
Sacramento Kings,Oklahoma City Thunder,V
Orlando Magic,Boston Celtics,V
Dallas Mavericks,Chicago Bulls,H
Golden State Warriors,Phoenix Suns,H
San Antonio Spurs,Los Angeles Lakers,V
Milwaukee Bucks,New York Knicks,H
Minnesota Timberwolves,Indiana Pacers,H
Washington Wizards,Portland Trail Blazers,V
Toronto Raptors,Charlotte Hornets,H
Memphis Grizzlies,Utah Jazz,V
Denver Nuggets,Sacramento Kings,H
Detroit Pistons,Philadelphia 76ers,H
New Orleans Pelicans,Los Angeles Clippers,H
Atlanta Hawks,Dallas Mavericks,H
Chicago Bulls,Charlotte Hornets,H
Brooklyn Nets,Cleveland Cavaliers,V
Golden State Warriors,Washington Wizards,H
Utah Jazz,Houston Rockets,V
Miami Heat,New York Knicks,H
Milwaukee Bucks,Philadelphia 76ers,H
Los Angeles Lakers,Phoenix Suns,V
Sacramento Kings,Memphis Grizzlies,H
Indiana Pacers,San Antonio Spurs,V
Toronto Raptors,Minnesota Timberwolves,H
Detroit Pistons,Cleveland Cavaliers,H
Los Angeles Lakers,Denver Nuggets,H
Boston Celtics,Oklahoma City Thunder,V
Portland Trail Blazers,Orlando Magic,V
Charlotte Hornets,Chicago Bulls,H
Los Angeles Clippers,Houston Rockets,V
Milwaukee Bucks,Minnesota Timberwolves,V
New Orleans Pelicans,Brooklyn Nets,H
Golden State Warriors,New York Knicks,V
Sacramento Kings,Washington Wizards,H
Toronto Raptors,Dallas Mavericks,H
Chicago Bulls,Atlanta Hawks,V
Indiana Pacers,Cleveland Cavaliers,V
Boston Celtics,Detroit Pistons,V
Memphis Grizzlies,Phoenix Suns,H
Miami Heat,Portland Trail Blazers,H
Milwaukee Bucks,Orlando Magic,H
Utah Jazz,New Orleans Pelicans,V
Philadelphia 76ers,Charlotte Hornets,H
San Antonio Spurs,Los Angeles Lakers,H
Golden State Warriors,Brooklyn Nets,V
Utah Jazz,Dallas Mavericks,V
Los Angeles Clippers,Washington Wizards,H
Oklahoma City Thunder,Phoenix Suns,H
Golden State Warriors,Chicago Bulls,V
Denver Nuggets,New Orleans Pelicans,H
Portland Trail Blazers,Indiana Pacers,V
Sacramento Kings,Miami Heat,V
Milwaukee Bucks,Toronto Raptors,H
Minnesota Timberwolves,Los Angeles Lakers,H
New York Knicks,Brooklyn Nets,H
Philadelphia 76ers,Atlanta Hawks,H
San Antonio Spurs,Dallas Mavericks,H
Boston Celtics,Detroit Pistons,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Atlanta Hawks,H
Portland Trail Blazers,Houston Rockets,V
Memphis Grizzlies,Washington Wizards,H
Oklahoma City Thunder,Los Angeles Clippers,H
Sacramento Kings,Orlando Magic,V
Toronto Raptors,Philadelphia 76ers,H
Brooklyn Nets,Detroit Pistons,H
Denver Nuggets,Chicago Bulls,V
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Lakers,Dallas Mavericks,H
Minnesota Timberwolves,Utah Jazz,H
Indiana Pacers,New York Knicks,V
San Antonio Spurs,Phoenix Suns,V
Sacramento Kings,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Oklahoma City Thunder,Charlotte Hornets,V
Denver Nuggets,Cleveland Cavaliers,V
Philadelphia 76ers,Los Angeles Clippers,H
Portland Trail Blazers,New Orleans Pelicans,H
Houston Rockets,Brooklyn Nets,V
Indiana Pacers,Chicago Bulls,V
New York Knicks,Dallas Mavericks,V
Golden State Warriors,Minnesota Timberwolves,H
Los Angeles Clippers,Orlando Magic,V
Toronto Raptors,Phoenix Suns,V
Memphis Grizzlies,Utah Jazz,V
Oklahoma City Thunder,Washington Wizards,V
Atlanta Hawks,Miami Heat,H
Houston Rockets,Chicago Bulls,V
Charlotte Hornets,Cleveland Cavaliers,H
Denver Nuggets,Utah Jazz,H
Indiana Pacers,Boston Celtics,H
Philadelphia 76ers,Detroit Pistons,H
Los Angeles Lakers,Portland Trail Blazers,V
San Antonio Spurs,New Orleans Pelicans,H
Brooklyn Nets,Philadelphia 76ers,H
Toronto Raptors,Los Angeles Lakers,V
Milwaukee Bucks,Sacramento Kings,H
Phoenix Suns,Memphis Grizzlies,H
Portland Trail Blazers,Minnesota Timberwolves,H
Orlando Magic,San Antonio Spurs,V
